A,,,,Proposed category,Subcategory(If applied),PureURL
APPROXIMATE_JACCARD_INDEX,Returns an estimation of the similarity (Jaccard index) of inputs based on their MinHash states.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approximate_jaccard_index
APPROXIMATE_SIMILARITY,Returns an estimation of the similarity (Jaccard index) of inputs based on their MinHash states.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approximate_similarity
ARRAY_AGG,"Returns the input values, pivoted into an array.","Aggregate functions , Window functions , Semi-structured and structured data functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/array_agg
ARRAY_APPEND,Returns an array containing all elements from the source array as well as the new element.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_append
ARRAY_CAT,Returns a concatenation of two arrays.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_cat
ARRAY_COMPACT,"Returns a compacted array with missing and null values removed, effectively converting sparse arrays into dense arrays.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_compact
ARRAY_CONSTRUCT,"Returns an array constructed from zero, one, or more inputs.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_construct
ARRAY_CONSTRUCT_COMPACT,"Returns an array constructed from zero, one, or more inputs; the constructed array omits any NULL input values.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_construct_compact
ARRAY_CONTAINS,Returns TRUE if the specified value is found in the specified array.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_contains
ARRAY_DISTINCT,Returns a new ARRAY that contains only the distinct elements from the input ARRAY.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_distinct
ARRAY_EXCEPT,Returns a new ARRAY that contains the elements from one input ARRAY that are not in another input ARRAY.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_except
ARRAY_FLATTEN,Flattens an ARRAY of ARRAYs into a single ARRAY.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_flatten
ARRAY_GENERATE_RANGE,"Returns an ARRAY of integer values within a specified range (e.g. [2, 3, 4]).",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_generate_range
ARRAY_INSERT,Returns an array containing all elements from the source array as well as the new element.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_insert
ARRAY_INTERSECTION,Returns an array that contains the matching elements in the two input arrays.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_intersection
ARRAY_MAX,"Given an input ARRAY, returns the element with the highest value that is not a SQL NULL.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_max
ARRAY_MIN,"Given an input ARRAY, returns the element with the lowest value that is not a SQL NULL.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_min
ARRAY_POSITION,Returns the index of the first occurrence of an element in an array.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_position
ARRAY_PREPEND,Returns an array containing the new element as well as all elements from the source array.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_prepend
ARRAY_REMOVE,"Given a source ARRAY, returns an ARRAY with elements of the specified value removed.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_remove
ARRAY_REMOVE_AT,"Given a source ARRAY, returns an ARRAY with the element at the specified position removed.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_remove_at
ARRAY_REVERSE,Returns an array with the elements of the input array in reverse order.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_reverse
ARRAY_SIZE,Returns the size of the input array.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_size
ARRAY_SLICE,Returns an array constructed from a specified subset of elements of the input array.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_slice
ARRAY_SORT,Returns an ARRAY that contains the elements of the input ARRAY sorted in ascending or descending order.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_sort
ARRAY_TO_STRING,Returns an input array converted to a string by casting all values to strings (using TO_VARCHAR) and concatenating them (using the string from the second argument to separate the elements).,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/array_to_string
ARRAY_UNION_AGG,Returns an ARRAY that contains the union of the distinct values from the input ARRAYs in a column.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/array_union_agg
ARRAY_UNIQUE_AGG,Returns an ARRAY that contains all of the distinct values from the specified column.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/array_unique_agg
ARRAYS_OVERLAP,Compares whether two arrays have at least one element in common.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/arrays_overlap
ARRAYS_TO_OBJECT,Returns an OBJECT that contains the keys specified by one input ARRAY and the values specified by another input ARRAY.,Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/arrays_to_object
ARRAYS_ZIP,"Returns an array of objects, each of which contains key-value pairs for an nth element in the input arrays.",Semi-structured and structured data functions,,semi-structured,array,https://docs.snowflake.com/en/sql-reference/functions/arrays_zip
AS_ARRAY,Casts a VARIANT value to an ARRAY value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_array
AS_BINARY,Casts a VARIANT value to a BINARY value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_binary
AS_BOOLEAN,Casts a VARIANT value to a BOOLEAN value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_boolean
"AS_CHAR , AS_VARCHAR",Casts a VARIANT value to a VARCHAR value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_char-varchar
AS_DATE,Casts a VARIANT value to a DATE value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_date
"AS_DECIMAL , AS_NUMBER","Casts a VARIANT value to a fixed-point NUMBER value, with optional precision and scale.",Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_decimal-number
"AS_DOUBLE , AS_REAL",Casts a VARIANT value to a floating-point value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_double-real
AS_INTEGER,Casts a VARIANT value to an INTEGER.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_integer
AS_OBJECT,Casts a VARIANT value to an OBJECT value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_object
AS_TIME,Casts a VARIANT value to a TIME value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_time
AS_TIMESTAMP_*,Casts a VARIANT value to the respective timestamp value.,Semi-structured and structured data functions,,semi-structured,conversion,https://docs.snowflake.com/en/sql-reference/functions/as_timestamp
ASCII,Returns the ASCII code for the first character of a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/ascii
ASIN,"Computes the inverse sine (arc sine) of its argument; the result is a number in the interval [-pi/2, pi/2].",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/asin
ASINH,Computes the inverse (arc) hyperbolic sine of its argument.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/asinh
ATAN,"Computes the inverse tangent (arc tangent) of its argument; the result is a number in the interval [-pi, pi].",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/atan
ATAN2,Computes the inverse tangent (arc tangent) of the ratio of its two arguments.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/atan2
ATANH,Computes the inverse (arc) hyperbolic tangent of its argument.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/atanh
AUTO_REFRESH_REGISTRATION_HISTORY,This table function can be used to query the history of data files registered in the metadata of specified objects and the credits billed for these operations.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/auto_refresh_registration_history
AUTOMATIC_CLUSTERING_HISTORY,This table function is used for querying the Automatic Clustering history for given tables within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/automatic_clustering_history
AVAILABLE_LISTING_REFRESH_HISTORY,Returns the past 14 days of refresh history for an available listing or a database mounted from a listing using cross-cloud auto-fulfillment.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/available_listing_refresh_history
AVG,Returns the average of non-NULL records.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/avg
B,,,,,,
BASE64_DECODE_BINARY,Decodes a Base64-encoded string to a binary.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/base64_decode_binary
BASE64_DECODE_STRING,Decodes a Base64-encoded string to a string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/base64_decode_string
BASE64_ENCODE,Encodes the input (string or binary) using Base64 encoding.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/base64_encode
[ NOT ] BETWEEN,Returns TRUE when the input expression (numeric or string) is within the specified lower and upper boundary.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/between
BIT_LENGTH,Returns the length of a string or binary value in bits.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/bit_length
BITAND,Returns the bitwise AND of two numeric or binary expressions.,Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/bitand
BITAND_AGG,Returns the bitwise AND value of all non-NULL numeric records in a group.,"Aggregate functions , Window functions , Bitwise expression functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitand_agg
BITMAP_BIT_POSITION,"Given a numeric value, returns the relative position for the bit that represents that value in a bitmap.",Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitmap_bit_position
BITMAP_BUCKET_NUMBER,"Given a numeric value, returns an identifier (“bucket number”) for the bitmap containing the bit that represents the value..",Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitmap_bucket_number
BITMAP_CONSTRUCT_AGG,Returns a bitmap with bits set for each distinct value in a group.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitmap_construct_agg
BITMAP_COUNT,"Given a bitmap that represents the set of distinct values for a column, returns the number of distinct value.",Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitmap_count
BITMAP_OR_AGG,Returns a bitmap containing the results of a binary OR operation on the input bitmaps.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitmap_or_agg
BITNOT,Returns the bitwise negation of a numeric or binary expression.,Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/bitnot
BITOR,Returns the bitwise OR of two numeric or binary expressions.,Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/bitor
BITOR_AGG,Returns the bitwise OR value of all non-NULL numeric records in a group.,"Aggregate functions , Window functions , Bitwise expression functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitor_agg
BITSHIFTLEFT,Shifts the bits for a numeric or binary expression n positions to the left.,Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/bitshiftleft
BITSHIFTRIGHT,Shifts the bits for a numeric or binary expression n positions to the right.,Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/bitshiftright
BITXOR,Returns the bitwise XOR of two numeric or binary expressions.,Bitwise expression functions,,bitwise,,https://docs.snowflake.com/en/sql-reference/functions/bitxor
BITXOR_AGG,Returns the bitwise XOR value of all non-NULL numeric records in a group.,"Aggregate functions , Window functions , Bitwise expression functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/bitxor_agg
BOOLAND,Computes the Boolean AND of two numeric expressions.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/booland
BOOLAND_AGG,Returns TRUE if all non-NULL Boolean records in a group evaluate to TRUE.,"Aggregate functions , Window functions , Conditional expression functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/booland_agg
BOOLNOT,Computes the Boolean NOT of a single numeric expression.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/boolnot
BOOLOR,Computes the Boolean OR of two numeric expressions.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/boolor
BOOLOR_AGG,Returns TRUE if at least one Boolean record in a group evaluates to TRUE.,"Aggregate functions , Window functions , Conditional expression functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/boolor_agg
BOOLXOR,"Computes the Boolean XOR of two numeric expressions (i.e. one of the expressions, but not both expressions, is TRUE).",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/boolxor
BOOLXOR_AGG,Returns TRUE if exactly one Boolean record in the group evaluates to TRUE.,"Aggregate functions , Window functions , Conditional expression functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/boolxor_agg
BUILD_SCOPED_FILE_URL,Generates a scoped Snowflake file URL to a staged file using the stage name and relative file path as inputs.,File functions,,file,,https://docs.snowflake.com/en/sql-reference/functions/build_scoped_file_url
BUILD_STAGE_FILE_URL,Generates a Snowflake file URL to a staged file using the stage name and relative file path as inputs.,File functions,,file,,https://docs.snowflake.com/en/sql-reference/functions/build_stage_file_url
C,,,,,,
CASE,Works like a cascading “if-then-else” statement.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/case
"CAST , ::",Converts a value of one data type into another data type.,Conversion functions,,conversion,,https://docs.snowflake.com/en/sql-reference/functions/cast
CBRT,Returns the cubic root of a numeric expression.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/cbrt
CEIL,"Returns values from input_expr rounded to the nearest equal or larger integer, or to the nearest equal or larger value with the specified number of places after the decimal point.",Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/ceil
CHARINDEX,"Searches for the first occurrence of the first argument in the second argument and, if successful, returns the position (1-based) of the first argument in the second argument.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/charindex
CHECK_JSON,Checks the validity of a JSON document.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/check_json
CHECK_XML,Checks the validity of an XML document.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/check_xml
"CHR , CHAR",Converts a Unicode code point (including 7-bit ASCII) into the character that matches the input Unicode.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/chr
CLASSIFY_TEXT (SNOWFLAKE.CORTEX),Classifies free-form text into categories that you provide.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/classify_text-snowflake-cortex
COALESCE,"Returns the first non-NULL expression among its arguments, or NULL if all its arguments are NULL.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/coalesce
COLLATE,"Returns a copy of the original string, but with the specified collation_specification property instead of the original collation_specification property.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/collate
COLLATION,Returns the collation specification of the expression.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/collation
COMPLETE (SNOWFLAKE.CORTEX),"Given a prompt, generates a response (completion) using your choice of supported language model.",String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/complete-snowflake-cortex
COMPLETE_TASK_GRAPHS,Returns the status of a completed graph run.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/complete_task_graphs
COMPRESS,Compresses the input string or binary value with a compression method.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/compress
"CONCAT , ||","Concatenates one or more strings, or concatenates one or more binary values.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/concat
CONCAT_WS,"Concatenates two or more strings, or concatenates two or more binary values.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/concat_ws
CONDITIONAL_CHANGE_EVENT,Returns a window event number for each row within a window partition when the value of the argument expr1 in the current row is different from the value of expr1 in the previous row.,Window functions,,window,,https://docs.snowflake.com/en/sql-reference/functions/conditional_change_event
CONDITIONAL_TRUE_EVENT,Returns a window event number for each row within a window partition based on the result of the boolean argument expr1.,Window functions,,window,,https://docs.snowflake.com/en/sql-reference/functions/conditional_true_event
CONTAINS,Returns true if expr1 contains expr2.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/contains
CONVERT_TIMEZONE,Converts a timestamp to another time zone.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/convert_timezone
COPY_HISTORY,This table function can be used to query Snowflake data loading history along various dimensions within the last 14 days.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/copy_history
CORR,Returns the correlation coefficient for non-null pairs in a group.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/corr
CORTEX_SEARCH_DATA_SCAN,"This table function returns the data indexed by a Cortex Search service, including the columns defined in the source query and the computed vector embeddings for the search column.",Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/cortex_search_data_scan
COS,Computes the cosine of its argument; the argument should be expressed in radians.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/cos
COSH,Computes the hyperbolic cosine of its argument.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/cosh
COT,Computes the cotangent of its argument; the argument should be expressed in radians.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/cot
COUNT,"Returns either the number of non-NULL records for the specified columns, or the total number of records.","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/count
COUNT_IF,Returns the number of records that satisfy a condition or NULL if no records satisfy the condition.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/count_if
COUNT_TOKENS (SNOWFLAKE.CORTEX),Returns the number of tokens in a prompt for the large language model or the task-specific function specified in the argument.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/count_tokens-snowflake-cortex
COVAR_POP,Returns the population covariance for non-null pairs in a group.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/covar_pop
COVAR_SAMP,Returns the sample covariance for non-null pairs in a group.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/covar_samp
CUME_DIST,Finds the cumulative distribution of a value with regard to other values within the same window partition.,Window functions,,window,,https://docs.snowflake.com/en/sql-reference/functions/cume_dist
CUMULATIVE_PRIVACY_LOSSES,Returns the privacy budgets associated with a specific privacy policy.,Table functions,,account,,https://docs.snowflake.com/en/sql-reference/functions/cumulative_privacy_losses
CURRENT_ACCOUNT,Returns the account locator used by the user’s current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_account
CURRENT_ACCOUNT_NAME,Returns the name of the current account.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_account_name
CURRENT_AVAILABLE_ROLES,Returns a list of all account-level roles granted to the current user.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_available_roles
CURRENT_CLIENT,Returns the version of the client from which the function was called.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_client
CURRENT_DATABASE,"Returns the name of the current database, which varies depending on where you call the function.",Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_database
CURRENT_DATE,Returns the current date of the system.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_date
CURRENT_IP_ADDRESS,Returns the IP address of the client that submitted the request.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_ip_address
CURRENT_ORGANIZATION_NAME,Returns the name of the organization to which the current account belongs.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_organization_name
CURRENT_REGION,Returns the name of the region for the account where the current user is logged in.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_region
CURRENT_ROLE,Returns the name of the primary role in use for the current session when the primary role is an account-level role or NULL if the role in use for the current session is a database role.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_role
CURRENT_ROLE_TYPE,"Returns either ROLE or DATABASE_ROLE based on whether the current active role in the session is an account role or a database role, respectively.",Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_role_type
CURRENT_SCHEMA,"Returns the name of the current schema, which varies depending on where you call the function.",Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_schema
CURRENT_SCHEMAS,Returns active search path schemas.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_schemas
CURRENT_SECONDARY_ROLES,Returns the secondary roles in use for the current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_secondary_roles
CURRENT_SESSION,Returns a unique system identifier for the Snowflake session corresponding to the present connection.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_session
CURRENT_STATEMENT,Returns the SQL text of the statement that is currently executing.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_statement
CURRENT_TASK_GRAPHS,Returns the status of a graph run that is currently scheduled or is executing.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/current_task_graphs
CURRENT_TIME,Returns the current time for the system.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_time
CURRENT_TIMESTAMP,Returns the current timestamp for the system in the local time zone.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_timestamp
CURRENT_TRANSACTION,Returns the transaction id of an open transaction in the current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_transaction
CURRENT_USER,Returns the name of the user currently logged into the system.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_user
CURRENT_VERSION,Returns the current Snowflake version.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_version
CURRENT_WAREHOUSE,Returns the name of the warehouse in use for the current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/current_warehouse
D,,,,,,
DATA_METRIC_FUNCTION_REFERENCES,Returns a row for each object that has the specified data metric function assigned to the object or returns a row for each data metric function assigned to the specified object.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/data_metric_function_references
DATA_QUALITY_MONITORING_RESULTS,"Returns a row for each data metric function assigned to the specified object, which includes the evaluation result and other metadata of the data metric function on the object.","LOCAL , Table functions",,data_quality,,https://docs.snowflake.com/en/sql-reference/functions/data_quality_monitoring_results
DATA_TRANSFER_HISTORY,"This table function can be used to query the history of data transferred from Snowflake tables into a different cloud storage provider’s network (i.e. from Snowflake on AWS, Google Cloud Platform, or Microsoft Azure into the other cloud provider’s network) and/or geographical region within a specified date range.","Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/data_transfer_history
DATABASE_REFRESH_HISTORY,Returns the refresh history for a secondary database.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/database_refresh_history
"DATABASE_REFRESH_PROGRESS , DATABASE_REFRESH_PROGRESS_BY_JOB",The DATABASE_REFRESH_PROGRESS family of functions can be used to query the status of a database refresh along various dimensions.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/database_refresh_progress
DATABASE_REPLICATION_USAGE_HISTORY,This table function can be used to query the replication history for a specified database within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/database_replication_usage_history
